Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 18 13:11:02 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file Desktop/PicoRV/ENGG4811_code/demo/multicast_32_flow.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Physopt postRoute
----------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                             Instance                                            |                  Module                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|       (NETWORK_ROW_GEN[1].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER)                                |    multicast_router_node__parameterized1 |          1 |          1 |       0 |    0 |  122 |      0 |      0 |          0 |
|       BUFFER_GEN[0].BUFFER_FIFO                                                                 |                        fifo_sync_wrapper |        116 |         76 |      40 |    0 |   34 |      0 |      0 |          0 |
|         UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                               |                             fifo_sync_11 |        116 |         76 |      40 |    0 |   34 |      0 |      0 |          0 |
|       BUFFER_GEN[1].BUFFER_FIFO                                                                 |                     fifo_sync_wrapper_10 |         85 |         45 |      40 |    0 |   34 |      0 |      0 |          0 |
|         UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                               |                                fifo_sync |         85 |         45 |      40 |    0 |   34 |      0 |      0 |          0 |
|       ROUTER                                                                                    |         multicast_router__parameterized1 |          2 |          2 |       0 |    0 |   57 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE           |                 fox_node__parameterized3 |       4161 |       1929 |    2232 |    0 | 1215 |      0 |      0 |          4 |
|       ENCODER                                                                                   |        message_encoder__parameterized2_2 |          0 |          0 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                       |               nic_dual__parameterized1_3 |        924 |        276 |     648 |    0 |  224 |      0 |      0 |          0 |
|         (NIC)                                                                                   |               nic_dual__parameterized1_3 |          0 |          0 |       0 |    0 |  114 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |      fifo_sync_wrapper__parameterized6_6 |        831 |        223 |     608 |    0 |   72 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized7_9 |        831 |        223 |     608 |    0 |   72 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |      fifo_sync_wrapper__parameterized2_7 |         93 |         53 |      40 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized1_8 |         93 |         53 |      40 |    0 |   38 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized3 |       3018 |       1434 |    1584 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized3 |       1550 |         14 |    1536 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |               picorv32__parameterized0_4 |       1468 |       1420 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |               picorv32__parameterized0_4 |       1238 |       1190 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                 picorv32_pcpi_fast_mul_5 |        236 |        236 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized3 |        220 |        220 |       0 |    0 |  237 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].NETWORK_COL_GEN[1].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE           |                 fox_node__parameterized5 |       4156 |       1924 |    2232 |    0 | 1213 |      0 |      0 |          4 |
|       ENCODER                                                                                   |          message_encoder__parameterized2 |          0 |          0 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                       |                 nic_dual__parameterized1 |        884 |        236 |     648 |    0 |  222 |      0 |      0 |          0 |
|         (NIC)                                                                                   |                 nic_dual__parameterized1 |          0 |          0 |       0 |    0 |  114 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |        fifo_sync_wrapper__parameterized6 |        791 |        183 |     608 |    0 |   70 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized7 |        791 |        183 |     608 |    0 |   70 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |      fifo_sync_wrapper__parameterized2_0 |         93 |         53 |      40 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized1_1 |         93 |         53 |      40 |    0 |   38 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized5 |       3036 |       1452 |    1584 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized5 |       1550 |         14 |    1536 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |                 picorv32__parameterized0 |       1486 |       1438 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |                 picorv32__parameterized0 |       1257 |       1209 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                   picorv32_pcpi_fast_mul |        236 |        236 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized5 |        237 |        237 |       0 |    0 |  237 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[2].NETWORK_COL_GEN[0].PERIPHERAL_NODE_GEN.ROM_GEN.ROM                       |                                 rom_node |        280 |        244 |      36 |    0 |  310 |      2 |      0 |          0 |
|       BURST_ROM                                                                                 |                                ROM_burst |         42 |         42 |       0 |    0 |   70 |      2 |      0 |          0 |
|       NIC                                                                                       |                 nic_dual__parameterized3 |        139 |        103 |      36 |    0 |  127 |      0 |      0 |          0 |
|         (NIC)                                                                                   |                 nic_dual__parameterized3 |          0 |          0 |       0 |    0 |   53 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |        fifo_sync_wrapper__parameterized8 |         67 |         51 |      16 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized9 |         67 |         51 |      16 |    0 |   36 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |        fifo_sync_wrapper__parameterized2 |         72 |         52 |      20 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized1 |         72 |         52 |      20 |    0 |   38 |      0 |      0 |          0 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized7 |         99 |         99 |       0 |    0 |  113 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[2].NETWORK_COL_GEN[1].PERIPHERAL_NODE_GEN.ROUTER_GEN.ROUTER                 | hoplite_router_multicast__parameterized9 |          6 |          6 |       0 |    0 |   91 |      0 |      0 |          0 |
+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


